frame,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z,21_x,21_y,21_z,22_x,22_y,22_z,23_x,23_y,23_z,24_x,24_y,24_z,25_x,25_y,25_z,26_x,26_y,26_z,27_x,27_y,27_z,28_x,28_y,28_z,29_x,29_y,29_z,30_x,30_y,30_z,31_x,31_y,31_z,32_x,32_y,32_z
0,0.5271053314208984,0.6354220509529114,-0.8169822692871094,0.5429984331130981,0.5942144393920898,-0.8197035193443298,0.5523583889007568,0.5886662006378174,-0.8193838000297546,0.5609798431396484,0.5845745801925659,-0.8193280100822449,0.521399736404419,0.6041984558105469,-0.82040935754776,0.5166993737220764,0.6016932725906372,-0.8203443884849548,0.5120474100112915,0.5992903709411621,-0.8202201724052429,0.5692498683929443,0.5485367774963379,-0.6794448494911194,0.4699668884277344,0.535607635974884,-0.6834999918937683,0.5452346801757812,0.6371368169784546,-0.7492807507514954,0.5051913857460022,0.6511724591255188,-0.7507763504981995,0.6143196225166321,0.5373892784118652,-0.45276567339897156,0.42646798491477966,0.5083221197128296,-0.4555100202560425,0.6308190226554871,0.6262615919113159,-0.30848807096481323,0.44878530502319336,0.5465925931930542,-0.3770182430744171,0.596390962600708,0.7559766173362732,-0.2838078439235687,0.45330777764320374,0.6537419557571411,-0.42933714389801025,0.5893180966377258,0.8068962693214417,-0.31555089354515076,0.4575660824775696,0.6782167553901672,-0.4619795083999634,0.5790488719940186,0.8037583827972412,-0.3395906686782837,0.4711921811103821,0.6855683326721191,-0.48740139603614807,0.5781457424163818,0.7832584977149963,-0.29304614663124084,0.4835905134677887,0.633726179599762,-0.4384687542915344,0.556775689125061,0.2917645573616028,0.009668371640145779,0.4525250494480133,0.25818106532096863,-0.010102546773850918,0.6061030030250549,0.34995025396347046,0.24868004024028778,0.41837021708488464,0.18842080235481262,0.20099136233329773,0.5110359191894531,0.34145137667655945,0.5823749899864197,0.45192402601242065,0.15195885300636292,0.5281303524971008,0.4912527799606323,0.3053397238254547,0.6167376041412354,0.4629632532596588,0.13356716930866241,0.5683068037033081,0.4998617172241211,0.43647336959838867,0.6108915209770203,0.4543367922306061,0.1931074559688568,0.551810622215271
1,0.5254732370376587,0.6355136036872864,-0.7025507688522339,0.5393951535224915,0.5988977551460266,-0.7007211446762085,0.5487741231918335,0.5941361784934998,-0.7005754709243774,0.5574323534965515,0.5896727442741394,-0.7007833123207092,0.5124133825302124,0.6050993204116821,-0.7038865685462952,0.5033371448516846,0.602001428604126,-0.7038785815238953,0.49462273716926575,0.599273145198822,-0.7038269639015198,0.566621720790863,0.5502288341522217,-0.5772144198417664,0.4706912934780121,0.54349285364151,-0.5887123942375183,0.5443483591079712,0.6355531811714172,-0.6446352601051331,0.5051718950271606,0.6467615365982056,-0.64864581823349,0.6163146495819092,0.5114505887031555,-0.363077849149704,0.4480063319206238,0.5391298532485962,-0.35113805532455444,0.6316187381744385,0.6006900072097778,-0.21095964312553406,0.4514044225215912,0.5796974301338196,-0.19745232164859772,0.6032361388206482,0.7055412530899048,-0.17726635932922363,0.4525122344493866,0.7000701427459717,-0.10657063871622086,0.5931058526039124,0.7622211575508118,-0.18765249848365784,0.4512985944747925,0.751531720161438,-0.0933866798877716,0.5819393396377563,0.7666468024253845,-0.20525892078876495,0.46607255935668945,0.7442870736122131,-0.1209125816822052,0.5805322527885437,0.751735270023346,-0.1826348453760147,0.4724160432815552,0.7279457449913025,-0.10997195541858673,0.5674789547920227,0.33485350012779236,-0.01882217451930046,0.4784102737903595,0.34967970848083496,0.018451400101184845,0.6898600459098816,0.39298149943351746,-0.011472675949335098,0.4596472978591919,0.32882457971572876,0.08450450003147125,0.5908013582229614,0.42753392457962036,0.16114120185375214,0.4908742308616638,0.3299555778503418,0.1760414093732834,0.5678563714027405,0.4169529974460602,0.18267066776752472,0.49760931730270386,0.31694552302360535,0.19223134219646454,0.5886411666870117,0.49812570214271545,0.20838318765163422,0.49887922406196594,0.3680482506752014,0.19891539216041565
2,0.5254002809524536,0.6362376809120178,-0.634696364402771,0.5389385223388672,0.6011003851890564,-0.6298749446868896,0.5481753945350647,0.5956135988235474,-0.6297465562820435,0.5567703247070312,0.5908416509628296,-0.6299546360969543,0.5117803812026978,0.6071668267250061,-0.6318926215171814,0.502355694770813,0.6029356718063354,-0.6318243741989136,0.49332860112190247,0.5993366837501526,-0.6317428350448608,0.5653864741325378,0.5501998066902161,-0.5068958401679993,0.4724987745285034,0.5424745678901672,-0.5160768628120422,0.5443634390830994,0.63498854637146,-0.579572856426239,0.5058175325393677,0.6441311240196228,-0.582612156867981,0.6164855360984802,0.5139852166175842,-0.2940654158592224,0.45816347002983093,0.55133455991745,-0.27828824520111084,0.6317417621612549,0.6010789275169373,-0.13942892849445343,0.4583759307861328,0.595740556716919,-0.08654223382472992,0.6025248169898987,0.7083906531333923,-0.08888507634401321,0.4563111960887909,0.714226484298706,0.025037473067641258,0.592083752155304,0.7645018696784973,-0.10048143565654755,0.4518652558326721,0.7684672474861145,0.043580878525972366,0.5808675289154053,0.7669281363487244,-0.12014243751764297,0.466635525226593,0.7617392539978027,0.007586964406073093,0.5798565149307251,0.7563983201980591,-0.0956219807267189,0.49035874009132385,0.7452637553215027,0.018759194761514664,0.5672692656517029,0.34821194410324097,-0.020754551514983177,0.4823768436908722,0.35874271392822266,0.020289160311222076,0.7226486802101135,0.3885054886341095,-0.06275986135005951,0.4701009690761566,0.35160642862319946,0.02548850327730179,0.6159700751304626,0.44954437017440796,0.15471220016479492,0.48811596632003784,0.4234166741371155,0.13274067640304565,0.5881368517875671,0.4418919086456299,0.18219132721424103,0.49287140369415283,0.4150969684123993,0.15180478990077972,0.6163473129272461,0.5227720737457275,0.2098458856344223,0.48855656385421753,0.4844268262386322,0.15943363308906555
3,0.5256444215774536,0.6320753693580627,-0.6111047863960266,0.5386409163475037,0.598542332649231,-0.6012945771217346,0.5475541353225708,0.5921527147293091,-0.6011149287223816,0.5558165907859802,0.586116373538971,-0.6012159585952759,0.5118585824966431,0.6044565439224243,-0.6063985228538513,0.5027531385421753,0.6002820134162903,-0.6063404083251953,0.4938318431377411,0.5955830216407776,-0.6063355803489685,0.5642760396003723,0.5499879121780396,-0.4627434313297272,0.4762105643749237,0.5422228574752808,-0.48669737577438354,0.5446613430976868,0.6314835548400879,-0.5507237315177917,0.5083473324775696,0.6399446129798889,-0.5580934882164001,0.619117021560669,0.5390632152557373,-0.2477511316537857,0.4526486396789551,0.5744673609733582,-0.25137490034103394,0.6294869184494019,0.6370388269424438,-0.12500853836536407,0.4590301811695099,0.6260740160942078,-0.08464930951595306,0.5990321636199951,0.7482699155807495,-0.11410459131002426,0.45941323041915894,0.7312071919441223,0.008714179508388042,0.5912323594093323,0.7897336483001709,-0.12956024706363678,0.45349404215812683,0.7786081433296204,0.02252492867410183,0.5802582502365112,0.7877656817436218,-0.14791887998580933,0.4693029224872589,0.7647751569747925,-0.009163697250187397,0.5789844393730164,0.7802159190177917,-0.12112157046794891,0.48920366168022156,0.7524191737174988,0.0037013127002865076,0.5718692541122437,0.36125659942626953,-0.016987334936857224,0.48757633566856384,0.360281765460968,0.01633758656680584,0.7050989270210266,0.38519755005836487,-0.1447434425354004,0.46523207426071167,0.3889467716217041,-0.012730656191706657,0.6155480742454529,0.4913899600505829,-0.0428709052503109,0.4979079067707062,0.5393974781036377,0.04363662749528885,0.5895830392837524,0.4871174991130829,-0.030876588076353073,0.5106574892997742,0.5427606105804443,0.051662661135196686,0.62274169921875,0.5820556282997131,-0.0642012506723404,0.5029304623603821,0.6187590956687927,0.026052944362163544
4,0.5255346298217773,0.6291933059692383,-0.5860017538070679,0.5374481081962585,0.5960827469825745,-0.5848296880722046,0.546389639377594,0.5897756218910217,-0.5847759246826172,0.5549044013023376,0.5850372314453125,-0.5850346088409424,0.5109151005744934,0.5991533398628235,-0.5873131155967712,0.5018199682235718,0.5941441655158997,-0.5873433351516724,0.4927750825881958,0.5882299542427063,-0.5873780846595764,0.5637978315353394,0.5490355491638184,-0.4775710105895996,0.47722047567367554,0.5417265892028809,-0.4908203184604645,0.544511616230011,0.6293907165527344,-0.5357503890991211,0.5087185502052307,0.6356953978538513,-0.5401270985603333,0.6193525195121765,0.5404137969017029,-0.2896552085876465,0.4708658456802368,0.566260576248169,-0.2728468179702759,0.6259883046150208,0.6497640013694763,-0.17488880455493927,0.45955991744995117,0.6350147724151611,-0.17429761588573456,0.5981927514076233,0.7600842714309692,-0.1633012890815735,0.4596172869205475,0.7342237830162048,-0.14779828488826752,0.5913608074188232,0.7985414266586304,-0.1835806518793106,0.45362964272499084,0.779244065284729,-0.14766664803028107,0.5802432894706726,0.7955640554428101,-0.19853907823562622,0.46937820315361023,0.7689327597618103,-0.17058725655078888,0.5789279341697693,0.786485493183136,-0.16918034851551056,0.4835159480571747,0.7584062218666077,-0.15261641144752502,0.5778003334999084,0.3626285195350647,-0.019579704850912094,0.500960648059845,0.36130833625793457,0.019007427617907524,0.7023078799247742,0.38919469714164734,-0.011177537962794304,0.4627147316932678,0.3356166183948517,0.06264081597328186,0.65993732213974,0.46059665083885193,0.07225096970796585,0.4855846166610718,0.21874406933784485,-0.020036393776535988,0.6462016701698303,0.43471482396125793,0.08513680100440979,0.48932838439941406,0.206227108836174,-0.024645069614052773,0.6733566522598267,0.4749941825866699,0.07388422638177872,0.4739138185977936,0.17510241270065308,-0.08097852766513824
5,0.524753987789154,0.629977822303772,-0.6421620845794678,0.5348647832870483,0.5986891388893127,-0.6401758193969727,0.5431586503982544,0.5935093760490417,-0.6401123404502869,0.5515806674957275,0.5890737771987915,-0.6403648853302002,0.5104174017906189,0.5995423197746277,-0.6430307030677795,0.5016802549362183,0.5942550301551819,-0.643058717250824,0.49261343479156494,0.588806688785553,-0.6430906057357788,0.5614815950393677,0.5531019568443298,-0.5233711004257202,0.47784891724586487,0.5463996529579163,-0.5365281701087952,0.5419288277626038,0.6303989887237549,-0.5877358317375183,0.5091615915298462,0.6362510323524475,-0.5921334624290466,0.6190685629844666,0.5410358905792236,-0.31994277238845825,0.46674787998199463,0.5655648708343506,-0.31448128819465637,0.6231374740600586,0.6495757699012756,-0.1860864907503128,0.4600802958011627,0.635867178440094,-0.16592243313789368,0.5958670973777771,0.7648284435272217,-0.1770039051771164,0.45941832661628723,0.7334656715393066,-0.10813339054584503,0.5913340449333191,0.8027566075325012,-0.19988325238227844,0.45306915044784546,0.7757083773612976,-0.1072826087474823,0.5801162123680115,0.7994344234466553,-0.2162250429391861,0.469394326210022,0.7686027884483337,-0.13610824942588806,0.5785139203071594,0.7888040542602539,-0.18299266695976257,0.4806678891181946,0.7578203678131104,-0.11265964806079865,0.5762210488319397,0.36146655678749084,-0.018954498693346977,0.494164377450943,0.3553432524204254,0.01841973513364792,0.7021166682243347,0.38808414340019226,0.1180017963051796,0.42876359820365906,0.28385525941848755,0.11185894906520844,0.6761922240257263,0.426565557718277,0.2742403447628021,0.4281793236732483,0.18421576917171478,0.17478083074092865,0.6630823016166687,0.4320374131202698,0.2949093282222748,0.4322974979877472,0.17925617098808289,0.18961718678474426,0.693621039390564,0.4372163414955139,0.28871777653694153,0.4170280694961548,0.1478029042482376,0.15935876965522766
6,0.523682177066803,0.6354877352714539,-0.6605873703956604,0.5333276391029358,0.605871319770813,-0.6623823642730713,0.541617751121521,0.6016449332237244,-0.6622865796089172,0.5500549077987671,0.5975592732429504,-0.6624857187271118,0.5095846652984619,0.6059211492538452,-0.6630592346191406,0.5009344220161438,0.6010339260101318,-0.6631091833114624,0.4918214678764343,0.5956611633300781,-0.6631390452384949,0.5607584714889526,0.5652173161506653,-0.5343863368034363,0.4779477119445801,0.5527321100234985,-0.5538906455039978,0.5405765175819397,0.6357904076576233,-0.6080589294433594,0.5091093182563782,0.6400639414787292,-0.6100028157234192,0.6190386414527893,0.5440547466278076,-0.353733628988266,0.46220991015434265,0.5646231174468994,-0.32681116461753845,0.6224349737167358,0.6513075232505798,-0.20640724897384644,0.4597247242927551,0.6331772208213806,-0.1955418437719345,0.5942955613136292,0.7689064145088196,-0.20269212126731873,0.45925673842430115,0.7299434542655945,-0.20165811479091644,0.591311514377594,0.806726336479187,-0.23711983859539032,0.45256662368774414,0.7723393440246582,-0.2139955312013626,0.5798458456993103,0.8017870783805847,-0.24965603649616241,0.4694051146507263,0.7672379016876221,-0.24747644364833832,0.5778986215591431,0.7896077036857605,-0.20780430734157562,0.4791771471500397,0.755808413028717,-0.20957598090171814,0.5754117965698242,0.3549592196941376,-0.018079377710819244,0.4905761480331421,0.34873872995376587,0.017603637650609016,0.6904078125953674,0.3799748122692108,0.19510364532470703,0.45077913999557495,0.2764042019844055,0.11117488890886307,0.6832878589630127,0.3573623299598694,0.4629807770252228,0.4384422302246094,0.16538751125335693,0.19321510195732117,0.6758959293365479,0.3509449362754822,0.49256569147109985,0.440560907125473,0.1514270305633545,0.20788192749023438,0.6994567513465881,0.37996718287467957,0.46385133266448975,0.4359535574913025,0.1436190903186798,0.14300723373889923
7,0.5237061381340027,0.6386854648590088,-0.6712610721588135,0.5336320996284485,0.6085453033447266,-0.671453595161438,0.5419922471046448,0.6044212579727173,-0.671265721321106,0.5504369139671326,0.6004902720451355,-0.6713514924049377,0.5098579525947571,0.6096014976501465,-0.6732195019721985,0.5014134049415588,0.6053064465522766,-0.6732137203216553,0.4925898611545563,0.6002489328384399,-0.673196017742157,0.560936689376831,0.5696749687194824,-0.5479052662849426,0.4789138734340668,0.5559187531471252,-0.5588667392730713,0.5404093861579895,0.6379078030586243,-0.6142129898071289,0.5101028084754944,0.6430157423019409,-0.6180316209793091,0.6194683313369751,0.5441499352455139,-0.354329913854599,0.4610806703567505,0.5696897506713867,-0.33468979597091675,0.6218840479850769,0.6519589424133301,-0.19845767319202423,0.4594622850418091,0.6362249851226807,-0.19974201917648315,0.594009280204773,0.7689911723136902,-0.17617511749267578,0.4590650796890259,0.7299285531044006,-0.1915864199399948,0.591293454170227,0.8075403571128845,-0.2056361585855484,0.45266062021255493,0.772504985332489,-0.19930730760097504,0.5797319412231445,0.8025391101837158,-0.22066402435302734,0.46966296434402466,0.7672797441482544,-0.23096688091754913,0.5777370929718018,0.7896986603736877,-0.1816510707139969,0.4789619445800781,0.7559729218482971,-0.19807074964046478,0.5750845074653625,0.3566940128803253,-0.02277776412665844,0.4925297200679779,0.3611970543861389,0.022366555407643318,0.7061744332313538,0.3802909851074219,0.14709225296974182,0.46331512928009033,0.28785449266433716,0.09027918428182602,0.6854738593101501,0.3663821220397949,0.3939273953437805,0.45487886667251587,0.18187031149864197,0.13087725639343262,0.6731144189834595,0.3543094992637634,0.4240516722202301,0.45325368642807007,0.1685454547405243,0.14175492525100708,0.7024635076522827,0.3956975042819977,0.4188672602176666,0.43869444727897644,0.1550655961036682,0.08408636599779129
8,0.5237203240394592,0.6406599879264832,-0.6845735907554626,0.5338470935821533,0.6116254329681396,-0.6901571154594421,0.5422692894935608,0.607923686504364,-0.690041184425354,0.5506967902183533,0.604832112789154,-0.6901835799217224,0.5100826621055603,0.6138078570365906,-0.6899492144584656,0.5017020106315613,0.6105984449386597,-0.6900526881217957,0.4928039312362671,0.6069045066833496,-0.6901158690452576,0.561071515083313,0.5732551217079163,-0.5835341215133667,0.47882384061813354,0.5589044094085693,-0.5845696926116943,0.5403321981430054,0.6394890546798706,-0.632518470287323,0.5104617476463318,0.6445680856704712,-0.633447527885437,0.6194037795066833,0.5439327955245972,-0.391824871301651,0.45909398794174194,0.5687480568885803,-0.37624505162239075,0.6221374273300171,0.6502893567085266,-0.2495138943195343,0.45959505438804626,0.6372141242027283,-0.2751452326774597,0.5932732224464417,0.7678253054618835,-0.24420888721942902,0.4589134752750397,0.7277497053146362,-0.3000544011592865,0.5905907154083252,0.8072322607040405,-0.28123706579208374,0.4526992738246918,0.7701173424720764,-0.32109084725379944,0.5794079303741455,0.8017184138298035,-0.29663756489753723,0.47015753388404846,0.7661721110343933,-0.34775468707084656,0.5773121118545532,0.7891332507133484,-0.25082993507385254,0.4783700704574585,0.7546705603599548,-0.3069320023059845,0.5696700215339661,0.3503505289554596,-0.021794341504573822,0.4859360456466675,0.35749635100364685,0.02141767367720604,0.6771993637084961,0.3753341734409332,0.2633434236049652,0.4593293070793152,0.27099737524986267,0.19517692923545837,0.6571217775344849,0.3323245346546173,0.5901621580123901,0.4540266990661621,0.15206924080848694,0.37843939661979675,0.6442040801048279,0.3181666433811188,0.6264838576316833,0.4562123417854309,0.136111781001091,0.40323272347450256,0.6679004430770874,0.3584674298763275,0.6144946217536926,0.44082173705101013,0.12720446288585663,0.35308122634887695
9,0.5237364768981934,0.6406385898590088,-0.6726850867271423,0.533762514591217,0.6125516295433044,-0.6758516430854797,0.5419557690620422,0.6087760329246521,-0.675784170627594,0.5501611232757568,0.6056197285652161,-0.6759588122367859,0.5102465748786926,0.6152339577674866,-0.6758738160133362,0.5019252300262451,0.6122496128082275,-0.6759710311889648,0.49313777685165405,0.6087351441383362,-0.6760250926017761,0.5604113936424255,0.5736152529716492,-0.5720052719116211,0.47954732179641724,0.5609318614006042,-0.5727134943008423,0.5399978160858154,0.6393951177597046,-0.6216101050376892,0.5116270184516907,0.644383430480957,-0.622511625289917,0.6179452538490295,0.5431546568870544,-0.38342174887657166,0.4566248953342438,0.5666219592094421,-0.37277650833129883,0.6222348809242249,0.6493814587593079,-0.24068233370780945,0.4594581723213196,0.6386317014694214,-0.27024132013320923,0.5932499170303345,0.7691295742988586,-0.231934055685997,0.45883405208587646,0.7292175889015198,-0.26178738474845886,0.5905851721763611,0.8081221580505371,-0.26687347888946533,0.4529145061969757,0.7750919461250305,-0.27276724576950073,0.5792221426963806,0.8023337125778198,-0.2821531593799591,0.4703521430492401,0.7700733542442322,-0.3005712926387787,0.577168345451355,0.7892982363700867,-0.2385886311531067,0.47783228754997253,0.7587398886680603,-0.2670774459838867,0.5656117796897888,0.34413138031959534,-0.02047887071967125,0.48239392042160034,0.3545631170272827,0.02006143517792225,0.6680631041526794,0.3747495412826538,0.2630297839641571,0.456425279378891,0.26629623770713806,0.16042356193065643,0.659026563167572,0.3355828523635864,0.5598434209823608,0.4508104920387268,0.16212639212608337,0.30409011244773865,0.6500662565231323,0.3230363130569458,0.5925930738449097,0.45493027567863464,0.14758729934692383,0.3247140049934387,0.6717163920402527,0.3617071509361267,0.5782220363616943,0.4378422796726227,0.14334449172019958,0.2881268262863159
